year,date,id,sex,lon,lat
2015,2015-08-24T00:00:00Z,BI406611 Y15-122,Hona,673961,7038540
2015,2015-09-03T00:00:00Z,BI406597 Y15-108,Hona,640725,7027184
2015,2015-09-02T00:00:00Z,BI407219 Z15-489 +,Hane,468200,7048200
2015,2015-09-03T00:00:00Z,BI406553 Y15-064,Hona,645819,7055880
2015,2015-09-02T00:00:00Z,BI406550 Y15-061,Hane,653709,7045673
2015,2015-08-24T00:00:00Z,BI406721 Y15-232,Hane,504810,6931488
2015,2015-09-04T00:00:00Z,BI406631 Y15-142,Hona,671904,7055540
2015,2015-08-29T00:00:00Z,BI406663 Y15-174,Hona,651717,7028829
2015,2015-09-03T00:00:00Z,BI407021 Z15-291,Hona,538194,7076175
2015,2015-08-27T00:00:00Z,BI406527 Y15-038,Hane,503758,6927609
2015,2015-09-04T00:00:00Z,BI407051 Z15-321,Hona,531814,7088849
2015,2015-09-02T00:00:00Z,BI406698 Y15-209 +,Hane,600446,7012876
2015,2015-09-05T00:00:00Z,BI406627 Y15-138,Hane,683858,7035762
2015,2015-09-03T00:00:00Z,BI407292 Z15-562,Hane,412685,7065907
2015,2015-09-03T00:00:00Z,BI406601 Y15-112 +,Hona,525638,6937400
2015,2015-09-02T00:00:00Z,BI406679 Y15-190,Hona,666837,7066852
2015,2015-09-03T00:00:00Z,BI407106 Z15-376,Hane,484359,6921586
2015,2015-09-03T00:00:00Z,BI406600 Y15-111,Hane,663525,7032491
2015,2015-08-31T00:00:00Z,BI080654 AC2014-140,Hane,489140,7031780
2015,2015-09-03T00:00:00Z,BI080654 AC2014-140,Hane,469600,7049200
2015,2015-08-31T00:00:00Z,BI407313 Z15-583 +,Hona,394900,6949984
2015,2015-09-02T00:00:00Z,BI406616 Y15-127,Hona,655974,7011761
2015,2015-08-29T00:00:00Z,BI406522 Y15-033 +,Hane,621543,6971571
2015,2015-09-02T00:00:00Z,BI407340 Z15-610,Hane,444707,7004372
2015,2015-09-01T00:00:00Z,BI080654 AC2014-140,Hane,469600,7046400
2015,2015-09-04T00:00:00Z,BI406652 Y15-163,Hona,640682,7075621
2015,2015-09-03T00:00:00Z,BI407364 Z15-634 +,Hane,468779,6834030
2015,2015-09-04T00:00:00Z,BI406601 Y15-112 +,Hona,521656,6939709
2015,2015-09-03T00:00:00Z,BI041229 ZF-35 NT83,Hona,450049,7164297
2015,2015-09-04T00:00:00Z,BI407116 Z15-386,Hane,469800,7049000
2015,2015-09-02T00:00:00Z,BI407116 Z15-386,Hane,469400,7052400
